Username	Fullname	Followed by you	Is verified	Profile URL	Avatar URL
illustratejoy	Maddie	TRUE	FALSE	https://www.instagram.com/illustratejoy	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/436293773_1798490807342546_5678928056769200476_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=u5Sm8o3xQnYQ7kNvgE554IA&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDjt4Tajm1Smn2MDiyy9KRzTM7cOgGAjR0xWLbQipqmzw&oe=6658002C&_nc_sid=0055be
alanritchson	Alan Ritchson	TRUE	TRUE	https://www.instagram.com/alanritchson	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/274165820_357669699339383_7622351137803902630_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WoJWPahIR8MQ7kNvgHwHVIW&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCmeXWNMePrnAHaDkpX69WKDl9Ql32ju7QQT3mzGMTujg&oe=6657E882&_nc_sid=0055be
safarnamaa.patrowww	Sushil Patro	TRUE	FALSE	https://www.instagram.com/safarnamaa.patrowww	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/432952686_401474489284037_8673478258264463870_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=OORD2Ybh7asQ7kNvgHo2ibf&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYB3ZWTg8sWDAkDII8T2ElavD6swScghFQBQjeQXFXFI4A&oe=6657F4F5&_nc_sid=0055be
lpu.confess	LPU Confession Page?	TRUE	FALSE	https://www.instagram.com/lpu.confess	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/405526997_1704239476724323_8466552280816127398_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=VgcOaIwPKDsQ7kNvgHivaU3&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAiWpPZLa_j7UM7YgZn0tcviSotTG2Y47e6KvLXpFf_fw&oe=6657F62D&_nc_sid=0055be
omarenfedaque	Omar Enfedaque	TRUE	FALSE	https://www.instagram.com/omarenfedaque	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/433784106_1213260543449635_9198368708740618761_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=W5iYwuv6oy4Q7kNvgGON0CP&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCpUDul7QMNNU3_J8EalxQkj-kB9tQHpr0MavqbjM30HQ&oe=6657DEE2&_nc_sid=0055be
chefshaan19	Afshan | Home chef	TRUE	FALSE	https://www.instagram.com/chefshaan19	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/356931863_226063700319292_1014323736141068405_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-DnS5Whc1HkQ7kNvgHWcFsB&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDWHZUJLpolTJ7zGVjadozBPHRwguD3WBLF7SYXoEqphw&oe=6657F600&_nc_sid=0055be
sydney_sweeney	Sydney Sweeney	TRUE	TRUE	https://www.instagram.com/sydney_sweeney	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/253662690_4696448127078584_2080510560169821623_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Qmyj2mDlj1gQ7kNvgEH8bTt&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYADnW9QxI_bSfi_pNPpADLHKq3ZgGE4vYy77n8nYQzbQQ&oe=6657FE7B&_nc_sid=0055be
forrest.auto.reviews.official	Forrest Jones	TRUE	TRUE	https://www.instagram.com/forrest.auto.reviews.official	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/359413974_292865179814650_7910740089260758449_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=YXkGUKsbNTAQ7kNvgH5HAEi&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCgWvxEKwMjK9JdK3ocH3r3FFOYZO0W2gACSLUkM2z9Vw&oe=66580677&_nc_sid=0055be
thebilllionaireslifestyle	The Billlionaires Lifestyle	TRUE	FALSE	https://www.instagram.com/thebilllionaireslifestyle	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/431634935_1148836899342858_6067211374599561607_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=CcSmBgMmeiIQ7kNvgH7ZkIG&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCpZIc5wGvCXJZryk4qY1BmIMxXkLREozp0muMdk4wkog&oe=6657E081&_nc_sid=0055be
veggiepaaji	Tanmay Sharma	TRUE	TRUE	https://www.instagram.com/veggiepaaji	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/300514519_1595329917553248_8890741952584767629_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=XGBcHT873m8Q7kNvgFXtQIr&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDfSnH3x7wcDkOQxBh72nP1gzQjTiycHDnC4s4gOq-BCg&oe=6657DC2A&_nc_sid=0055be
